m,zi,faza,sigma_v,delta_h,h,e,sigma_log,d_sigma,d_h,d_e,d_log_sigma,Eoed_MPa,wskaznik_de_dlog
0.0,0.0,Obciążanie,0.0,0.0,20.0,0.6319324338320842,1.0,,,,,,
0.5,0.05,Obciążanie,11.10264883009062,0.05,19.95,0.627852602747504,11.10264883009062,11.10264883009062,-0.05000000000000071,-0.00407983108458021,1.045426603566396,4.441059532036185,0.00390255142796459
1.0,0.12,Obciążanie,22.20529766018124,0.12,19.88,0.6221408392290917,22.20529766018124,11.10264883009062,-0.07000000000000028,-0.005711763518412294,0.30102999566398103,3.1642549165758136,0.018974067703166498
2.0,0.25,Obciążanie,44.41059532036248,0.25,19.75,0.6115332784091831,44.41059532036248,22.20529766018124,-0.129999999999999,-0.010607560819908546,0.30102999566398125,3.395702442187742,0.03523755430588062
4.0,0.35,Obciążanie,88.82119064072496,0.35,19.65,0.6033736162400227,88.82119064072496,44.41059532036248,-0.10000000000000142,-0.00815966216916042,0.30102999566398125,8.771092575771466,0.027105811004523552
8.0,0.75,Obciążanie,177.64238128144993,0.75,19.25,0.570734967563381,177.64238128144993,88.82119064072496,-0.3999999999999986,-0.03263864867664168,0.30102999566398103,4.363340990225629,0.10842324401809428
16.0,1.2,Obciążanie,355.28476256289986,1.2,18.8,0.5340164878021592,355.28476256289986,177.64238128144993,-0.4499999999999993,-0.03671847976122189,0.30102999566398125,7.599146310373148,0.12197614952035597
16.0,1.2,Obciążanie,355.28476256289986,1.2,18.8,0.5340164878021592,355.28476256289986,0.0,0.0,0.0,0.0,,
8.0,1.1,Odciążanie,177.64238128144993,1.1,18.9,0.5421761499713196,177.64238128144993,-177.64238128144993,0.09999999999999787,0.00815966216916042,-0.30102999566398125,33.3967676809133,0.027105811004523552
2.0,0.95,Odciążanie,44.41059532036248,0.95,19.05,0.5544156432250602,44.41059532036248,-133.23178596108744,0.15000000000000213,0.01223949325374063,-0.6020599913279623,16.787205031096775,0.02032935825339267
0.0,0.11,Odciążanie,0.0,0.11,19.89,0.6229568054460077,1.0,-44.41059532036248,0.8399999999999999,0.06854116222094753,-1.6474865948943582,1.0071688581582208,0.041603471878533006
2.0,0.1,Ponowne obciążanie,44.41059532036248,0.1,19.9,0.6237727716629238,44.41059532036248,44.41059532036248,0.00999999999999801,0.000815966216916042,1.6474865948943582,88.33267409221854,0.0004952794271253929
4.0,0.11,Ponowne obciążanie,88.82119064072496,0.11,19.89,0.6229568054460077,88.82119064072496,44.41059532036248,-0.00999999999999801,-0.000815966216916042,0.30102999566398125,88.37708468753891,0.0027105811004523553
8.0,0.12,Ponowne obciążanie,177.64238128144993,0.12,19.88,0.6221408392290917,177.64238128144993,88.82119064072496,-0.010000000000001563,-0.000815966216916042,0.30102999566398103,176.66534818437435,0.002710581100452357
